n,bias_x,bias_y,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,matched_frac,sigma_px,crb,condition,arch
132,0.009689352434897103,0.0509588145431934,0.13906404035283432,0.14977435083353946,0.19617459285377586,07457,200,0,0.0,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.01624791015223792,0.00645520973195346,0.1363813961530097,0.15348269802587408,0.20061828744216445,07457,200,0,0.0,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.04595976134603674,-0.02460831819703202,0.24290638000306283,0.24478623896980042,0.326692997197342,07457,200,0,0.125,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.01544323830514216,0.0820653232611619,0.12645056005548447,0.12890337620887782,0.19658624222338758,07457,200,0,0.125,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.009178737628182887,0.02234808808596256,0.13128868686877632,0.1509676043816652,0.19190285168123955,07457,200,0,0.125,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.008485585040176602,-0.015781089706266016,0.27238982659545957,0.2202530403268905,0.3271133398698441,07457,200,0,0.25,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.016000113264482252,0.08157800269672855,0.1366610338003975,0.12953587094503963,0.1972987979910764,07457,200,0,0.25,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.008692356251430056,0.05739849979367051,0.14143391116767376,0.13404447587780374,0.19472661926021476,07457,200,0,0.25,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.01944799793824359,-0.036977391511996416,0.257825312879721,0.21765715441573305,0.33571576046505164,07457,200,0,0.375,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.006512954661172188,0.07831925838517861,0.14682180013642113,0.14109800443834067,0.20081119191966654,07457,200,0,0.375,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.012393606920056754,0.020106815726112615,0.1531518828611341,0.15260350804807576,0.20053508591882266,07457,200,0,0.375,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.009752747912742166,-0.022905416931948253,0.2534657706061549,0.2224113213624373,0.3275288220126126,07457,200,0,0.5,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.007294537237093834,0.07710791181081333,0.14159374068362163,0.1310839689933798,0.19129317577160543,07457,200,0,0.5,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.004543347115770757,0.03407747548556728,0.1374381572139783,0.1427578234016476,0.18544186287261258,07457,200,0,0.5,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.0339508982548864,-0.03123962263866531,0.2791575827927004,0.2829525948071483,0.3615222699621443,07457,200,0,0.625,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.029674580047768018,0.06071032638130447,0.15002241962136995,0.14246008176558886,0.21162148378572262,07457,200,0,0.625,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.008735447327644863,0.023645358548975537,0.1467567377561506,0.13251414698348798,0.1948801986423562,07457,200,0,0.625,raw,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,-0.02782397715679963,-0.037892738748695365,0.2805137946239647,0.15157340739093728,0.35845313543127333,07457,200,0,0.75,prob,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
132,0.0061207260060172075,0.061460618857594795,0.16261653247764993,0.14764893160767875,0.21578369528077881,07457,200,0,0.75,denoised,1.0,4.649163822560626,0.04221657434812745,with_n2v,AtomSegNet
