n,bias_x,bias_y,bias_mag,jitter_x,jitter_y,rmse,stem,dose,rep,shift,source,n_pred,n_true,matched_frac,spurious_frac,sigma_px,crb,condition,arch
132,0.056654835701714035,0.10160292591941555,0.11633110058696451,0.2305426902109377,0.1860656496092367,0.3764111815636797,07364,50,0,0.75,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.06836467179331862,0.061510881547377494,0.09196367162169897,0.2598105251589742,0.24043428544802442,0.45124824099316135,07364,50,0,0.75,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.017602618375748058,0.05706096027109808,0.05971436477717951,0.22528371293513802,0.22140806202191893,0.3810380374269539,07364,50,0,0.875,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.07871587445458772,0.0631940863800935,0.10094395199597217,0.2964530423879334,0.30086119252567134,0.45167172874682904,07364,50,0,0.875,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
133,0.04254112494869844,0.13206656283995244,0.13874914173521896,0.22660892662207416,0.1910397501846208,0.42359750160983867,07364,50,1,0.0,denoised,133,133,1.0,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.06740487849074839,0.08623764773282261,0.10945478304232739,0.2980097678641704,0.3110420823285178,0.48549307394830243,07364,50,1,0.0,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.017968074451310656,0.10707068125408625,0.10856787040235237,0.21314697534829982,0.18815124829163993,0.3872769253738631,07364,50,1,0.125,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.0950141641002773,0.07192688710529183,0.11916865556148487,0.26244710072009125,0.3191068875105014,0.47792517321969635,07364,50,1,0.125,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.014488775337945903,0.09927094976683293,0.10032270968431094,0.2063423618260349,0.2113220573690506,0.377237921578204,07364,50,1,0.25,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.07698048307685212,0.08892902628642219,0.11761958379027145,0.30121537046808555,0.28143243497104664,0.42867081437658805,07364,50,1,0.25,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.028814889457056125,0.055484441112625404,0.06252056509663649,0.2214775792853803,0.1924089900992068,0.36877555746086244,07364,50,1,0.375,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.016411867168358185,0.050250216869329734,0.05286240326892549,0.3123376976708352,0.3000216125547626,0.4461876710175885,07364,50,1,0.375,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,-0.007453816943906233,0.0999651809151807,0.10024268942141402,0.22914050340858397,0.18890460598866057,0.3982260958461719,07364,50,1,0.5,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.0013944927797098217,0.05058256562742258,0.05060178411444774,0.2841263291946336,0.3325694813857547,0.43962953797596876,07364,50,1,0.5,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,0.013023992361652859,0.09344166284886946,0.09434494545548364,0.21772371625558087,0.19062719163636552,0.38808653751946576,07364,50,1,0.625,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
131,0.08119923437857324,0.05847804289011549,0.10006496471755065,0.26032528410895334,0.2798677580681872,0.45003985601505203,07364,50,1,0.625,raw,131,133,0.9849624060150376,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
132,-0.02019622441471114,0.1352025039775171,0.13670261359023061,0.17713593096636637,0.19760793515735478,0.3779201099969132,07364,50,1,0.75,denoised,132,133,0.9924812030075187,0.0,2.9999999999999996,0.08057374454848279,no_n2v,AtomSegNet
