stem,dose,blur,tilt,iou,condition,arch,model
00021,1000,2.0,0.25,0.8600944510035419,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,0.0,0.0,0.9103244837758112,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,0.0,0.1,0.8477905073649754,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,0.0,0.25,0.934949733885275,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,1.0,0.0,0.8573788546255506,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,1.0,0.1,0.9244837758112094,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,1.0,0.25,0.9187425860023725,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,2.0,0.0,0.9169087739686229,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,2.0,0.1,0.9150668993600931,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,20,2.0,0.25,0.8555368184373243,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,0.0,0.0,0.8662169758291175,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,0.0,0.1,0.8140756302521008,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,0.0,0.25,0.7740760020822488,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,1.0,0.0,0.74784276126558,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,1.0,0.1,0.8579264947888097,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,1.0,0.25,0.8703488372093023,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,2.0,0.0,0.8520518358531317,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,2.0,0.1,0.8844192634560907,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,50,2.0,0.25,0.8831092928112215,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,0.0,0.0,0.772523643603783,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,0.0,0.1,0.7142857142857143,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,0.0,0.25,0.8056460369163952,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,1.0,0.0,0.735653809971778,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,1.0,0.1,0.75,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,1.0,0.25,0.8942891859052248,no_n2v,AtomSegNet,AtomSegNet no_n2v
00024,200,2.0,0.0,0.8424693986162852,no_n2v,AtomSegNet,AtomSegNet no_n2v
